timestamp,battery,temp,signal,power_draw,packet_loss,packet_type,priority,size_kb,event
00:00:01,94.0,27.0,1,0.4,0.0,TTC,HIGH,9.6,
00:00:02,93.7,27.3,2,0.44,0.0,,,,
00:00:03,94.0,27.2,1,0.38,0.0,,,,
00:00:04,94.0,26.9,3,0.44,0.0,,,,
00:00:05,94.1,26.7,3,0.39,0.0,,,,
00:00:06,94.1,27.7,0,0.42,0.0,,,,
00:00:07,93.9,27.6,1,0.45,0.0,CODEC2,MEDIUM,29.6,
00:00:08,93.9,27.3,0,0.4,0.0,,,,
00:00:09,93.9,27.6,0,0.47,0.0,,,,
00:00:10,94.0,27.7,1,0.45,0.0,,,,
00:00:11,93.7,27.6,0,0.46,0.0,,,,
00:00:12,93.7,27.5,2,0.52,0.0,,,,
00:00:13,93.9,27.9,3,0.5,0.0,CODEC2,LOW,31.2,
00:00:14,93.6,27.8,2,0.42,0.0,SSTV,LOW,428.8,
00:00:15,93.7,28.2,1,0.41,0.0,CODEC2,LOW,55.5,
00:00:16,93.7,27.9,1,0.49,0.0,,,,
00:00:17,93.7,27.9,1,0.47,0.0,,,,
00:00:18,93.6,27.9,2,0.47,0.0,,,,
00:00:19,93.9,27.7,1,0.46,0.0,,,,
00:00:20,93.5,28.3,18,0.41,18.6,,,,
00:00:21,93.6,28.1,19,0.44,20.5,,,,
00:00:22,93.6,28.2,30,0.48,13.2,SSTV,MEDIUM,287.4,
00:00:23,93.8,28.4,29,0.46,15.1,,,,
00:00:24,93.3,28.6,34,0.46,12.6,,,,
00:00:25,93.6,29.0,40,0.46,9.4,,,,
00:00:26,93.7,28.6,37,0.45,8.9,,,,
00:00:27,93.8,28.5,44,0.46,9.8,HOUSEKEEPING,HIGH,11.9,
00:00:28,93.5,28.4,45,0.41,9.3,M17,MEDIUM,90.4,
00:00:29,93.5,28.4,48,0.44,10.2,,,,
00:00:30,93.5,28.5,54,0.5,5.5,,,,
00:00:31,93.5,29.2,57,0.44,6.1,,,,
00:00:32,93.7,28.4,51,0.47,7.3,TTC,CRITICAL,2.2,
00:00:33,93.3,29.0,59,0.51,6.0,,,,
00:00:34,93.1,29.6,60,1.63,5.8,,,,
00:00:35,93.5,30.1,58,2.57,4.9,,,,
00:00:36,93.4,30.1,64,2.67,3.7,HOUSEKEEPING,MEDIUM,6.7,
00:00:37,93.4,29.7,66,2.62,2.1,,,,
00:00:38,93.4,29.2,67,0.36,3.0,,,,
00:00:39,93.1,29.1,71,0.47,1.8,,,,
00:00:40,93.2,29.1,68,0.52,3.8,HOUSEKEEPING,MEDIUM,11.3,
00:00:41,93.3,29.1,75,0.53,1.8,,,,
00:00:42,93.1,29.1,74,0.48,3.6,,,,
00:00:43,93.2,28.8,78,0.52,0.8,HOUSEKEEPING,HIGH,19.2,
00:00:44,93.3,29.6,77,0.5,0.0,,,,
00:00:45,93.2,29.2,79,0.43,2.4,,,,
00:00:46,93.2,29.8,86,2.59,1.5,CODEC2,LOW,21.3,
00:00:47,93.1,30.0,85,2.65,0.8,,,,
00:00:48,93.2,30.3,82,2.59,2.7,,,,
00:00:49,93.3,29.3,84,0.46,1.5,,,,
00:00:50,92.8,29.6,82,0.44,3.0,,,,
00:00:51,92.9,29.2,86,0.43,1.1,M17,MEDIUM,57.6,
00:00:52,93.2,29.6,88,0.48,0.8,,,,
00:00:53,93.0,29.5,95,0.45,0.0,,,,
00:00:54,93.0,29.4,88,0.48,0.8,CODEC2,MEDIUM,58.6,
00:00:55,93.2,29.1,87,0.46,1.8,M17,MEDIUM,42.1,
00:00:56,93.2,29.7,91,0.45,0.3,CODEC2,MEDIUM,41.3,
00:00:57,93.1,28.9,88,0.49,1.1,HOUSEKEEPING,MEDIUM,6.2,
00:00:58,92.9,29.8,96,0.53,0.0,,,,
00:00:59,92.8,29.6,96,1.29,2.5,TTC,HIGH,7.8,
00:01:00,93.0,29.7,92,1.28,0.3,,,,
00:01:01,92.8,29.0,94,0.46,0.0,HOUSEKEEPING,HIGH,7.1,
00:01:02,92.9,29.0,97,0.43,2.0,,,,
00:01:03,92.5,29.1,91,0.44,0.7,,,,
00:01:04,92.7,29.6,92,0.48,0.0,CODEC2,MEDIUM,79.7,
00:01:05,92.6,29.1,94,0.51,2.1,,,,
00:01:06,92.6,29.5,97,0.48,0.0,HOUSEKEEPING,LOW,13.0,
00:01:07,92.7,28.9,96,0.45,0.8,,,,
00:01:08,92.7,29.2,94,0.46,1.7,TTC,HIGH,7.7,
00:01:09,92.7,29.5,96,0.46,0.0,TTC,HIGH,7.2,
00:01:10,92.4,29.5,96,0.44,0.0,,,,
00:01:11,92.4,29.7,87,0.77,0.0,,,,
00:01:12,92.6,29.7,96,0.81,0.6,M17,LOW,81.9,
00:01:13,92.6,29.7,91,0.82,2.5,,,,
00:01:14,92.4,29.5,91,0.77,2.1,,,,
00:01:15,92.5,29.4,85,0.81,4.2,HOUSEKEEPING,LOW,2.1,
00:01:16,92.3,29.1,89,0.78,1.0,,,,
00:01:17,92.3,29.2,86,0.41,0.8,,,,
00:01:18,92.3,28.8,92,0.46,2.5,,,,
00:01:19,92.3,28.8,87,0.4,0.2,,,,
00:01:20,92.4,28.9,90,0.43,0.0,HOUSEKEEPING,LOW,7.7,
00:01:21,92.3,29.3,81,0.45,3.0,,,,
00:01:22,92.3,29.2,78,0.46,1.7,SSTV,MEDIUM,198.5,
