timestamp,battery,temp,signal,power_draw,packet_loss,packet_type,priority,size_kb,event
00:00:01,62.0,34.4,2,0.48,0.0,,,,
00:00:02,62.2,34.4,1,0.42,0.0,,,,
00:00:03,61.5,33.9,1,0.47,0.0,,,,
00:00:04,61.5,34.0,2,0.44,0.0,,,,
00:00:05,61.6,34.1,1,0.49,0.0,,,,
00:00:06,61.6,34.7,1,0.44,0.0,,,,
00:00:07,61.3,34.4,1,0.5,0.0,SSTV,MEDIUM,297.9,
00:00:08,61.2,35.4,3,0.43,0.0,M17,HIGH,49.2,
00:00:09,61.3,34.7,1,0.48,0.0,TTC,MEDIUM,7.5,
00:00:10,61.4,34.6,2,0.43,0.0,,,,
00:00:11,61.6,35.4,1,0.47,0.0,,,,
00:00:12,61.2,35.3,1,0.46,0.0,,,,
00:00:13,61.3,35.2,1,0.44,0.0,,,,
00:00:14,60.8,35.7,1,0.52,0.0,,,,
00:00:15,60.7,34.6,16,0.43,16.6,CODEC2,MEDIUM,79.4,
00:00:16,60.8,35.6,26,0.43,14.0,,,,
00:00:17,61.0,35.5,25,0.45,18.2,,,,
00:00:18,60.6,35.6,27,0.44,14.4,CODEC2,LOW,38.1,
00:00:19,60.6,35.6,37,0.41,9.3,,,,
00:00:20,60.8,35.2,32,0.48,12.3,TTC,MEDIUM,2.2,
00:00:21,60.2,36.3,44,0.46,7.2,,,,
00:00:22,60.4,35.9,44,0.41,10.3,,,,
00:00:23,60.4,35.9,40,0.4,9.1,M17,MEDIUM,94.5,
00:00:24,60.3,35.5,42,0.53,8.4,,,,
00:00:25,60.1,35.3,47,0.42,7.3,,,,
00:00:26,59.9,35.7,55,0.42,4.3,SSTV,LOW,448.8,
00:00:27,59.9,36.1,57,0.46,6.0,,,,
00:00:28,59.8,36.3,54,0.48,8.2,,,,
00:00:29,59.9,36.6,58,0.52,5.7,SSTV,MEDIUM,240.0,
00:00:30,59.6,36.9,59,0.5,5.5,TTC,CRITICAL,8.1,
00:00:31,59.7,36.8,58,0.44,6.1,TTC,MEDIUM,9.2,
00:00:32,59.7,36.2,66,0.4,4.6,HOUSEKEEPING,MEDIUM,8.2,
00:00:33,59.5,36.9,66,0.47,4.3,,,,
00:00:34,59.4,36.6,68,0.47,3.8,M17,MEDIUM,99.0,
00:00:35,59.3,36.7,72,0.44,4.6,,,,
00:00:36,58.9,37.3,68,0.42,2.2,,,,
00:00:37,59.3,37.2,73,0.4,2.2,,,,
00:00:38,59.2,36.8,72,0.4,2.7,TTC,HIGH,1.6,
00:00:39,59.2,36.9,74,0.5,2.8,,,,
00:00:40,59.0,37.0,80,0.44,2.7,TTC,MEDIUM,9.6,
00:00:41,59.0,37.5,84,0.46,0.3,,,,
00:00:42,58.9,37.4,76,1.28,0.9,,,,
00:00:43,58.7,37.9,80,1.61,1.5,HOUSEKEEPING,HIGH,14.7,
00:00:44,58.6,37.8,80,1.58,2.6,,,,
00:00:45,58.8,37.3,84,1.62,1.7,,,,
00:00:46,58.6,38.2,84,1.6,2.1,,,,
00:00:47,58.6,37.7,85,0.78,0.0,TTC,HIGH,2.3,
00:00:48,58.3,37.8,90,0.84,3.3,,,,
00:00:49,58.2,38.0,90,1.64,0.1,TTC,MEDIUM,7.0,
00:00:50,57.9,37.7,89,0.5,1.1,M17,MEDIUM,70.1,
00:00:51,58.0,38.1,89,0.46,1.3,,,,
00:00:52,58.1,38.3,89,0.44,2.3,,,,
00:00:53,57.8,38.1,88,0.47,2.1,HOUSEKEEPING,HIGH,14.2,
